date,CPI_YOY,CPI_YOY_L1,CPI_YOY_L3,CORE_CPI_YOY,PPI_YOY,PPI_YOY_L1,OIL_CHG,OIL_YOY,OIL_L1,VIX,VIX_L1,YIELD_SPREAD,YIELD_SPREAD_L1,YIELD_SPREAD_L3,GS10,GS10_L1,GS3M,GS3M_L1,SP500_RET,SP500_6M,DXY_CHG,DXY_YOY,UNRATE,UNRATE_CHG,UNRATE_L1,PAYROLLS_YOY,PAYROLLS_L1,CPI_YOY_3M,CPI_YOY_6M,OIL_CHG_3M,OIL_CHG_6M,inflation_future
2022-04-30,8.258629340882372,8.542455554842432,7.479872468289117,6.160573497634747,21.757687012391003,20.936744186046518,4.397690183278935,64.65869680153422,4.763892081530274,33.400001525878906,20.559999465942383,2.0790000557899475,1.833999902009964,1.608999952673912,2.88700008392334,2.3269999027252197,0.8080000281333923,0.49300000071525574,-8.795671180434306,-10.28036164395878,4.729937586568922,12.79579366934096,3.7,-0.2999999999999998,3.7,4.8662742846867335,4.910838094181602,8.224049597821363,7.6662378278508045,5.916405494504303,4.6316800798638535,8.52481474562552
2022-05-31,8.581511543676523,8.258629340882372,7.871063897739283,6.021537335126292,21.49888839484213,21.757687012391003,9.532902373485719,72.9040993615904,4.397690183278935,26.190000534057617,33.400001525878906,1.814000129699707,2.0790000557899475,1.5509999990463257,2.8440001010894775,2.88700008392334,1.0299999713897705,0.8080000281333923,0.005317770464463578,-9.521569907077954,-1.175212796456926,13.017884460305273,3.6,-0.2999999999999998,3.7,4.728225278323506,4.8662742846867335,8.460865479800443,7.961655945162479,6.231494879431644,9.688647485765928,8.262692503116241
2022-06-30,9.059757964784154,8.581511543676523,8.542455554842432,5.91694282900459,22.433813892529475,21.49888839484213,-7.770119625874239,43.94991204441185,9.532902373485719,28.709999084472656,26.190000534057617,1.3719998598098755,1.814000129699707,1.833999902009964,2.9719998836517334,2.8440001010894775,1.600000023841858,1.0299999713897705,-8.391999993382681,-20.57833016788926,2.8894372888513598,13.251838680732142,3.6,-0.10000000000000009,3.6,4.483609930050747,4.728225278323506,8.633299616447683,8.298881795035648,2.0534909769634724,6.119526929187805,8.20166964383362
2022-07-31,8.52481474562552,9.059757964784154,8.258629340882372,5.91088534315376,17.43541082596507,22.433813892529475,-6.7511339310028955,33.360387851816206,-7.770119625874239,21.329999923706055,28.709999084472656,0.34399986267089844,1.3719998598098755,2.0790000557899475,2.6419999599456787,2.9719998836517334,2.2980000972747803,1.600000023841858,9.111639173021002,-8.531846226678086,1.1557923930223257,14.896391048817037,3.5,-0.20000000000000018,3.6,4.299478066529483,4.483609930050747,8.722028084695399,8.473038841258381,-1.6627837277971376,2.1268108833535844,7.7454273308049215
2022-08-31,8.262692503116241,8.52481474562552,8.581511543676523,6.3222030217489955,15.47929653192812,17.43541082596507,-9.196916895379593,30.729931462420158,-6.7511339310028955,25.8700008392334,21.329999923706055,0.27300000190734863,0.34399986267089844,1.814000129699707,3.132999897003174,2.6419999599456787,2.859999895095825,2.2980000972747803,-4.244012827299837,-9.578090852147325,2.6439994164485947,17.34859135411584,3.6,0.0,3.5,4.105516108448626,4.299478066529483,8.615755071175306,8.538310275487873,-7.906056817418907,-0.8372809689936309,7.110322794191726
2022-09-30,8.20166964383362,8.262692503116241,9.059757964784154,6.630604107415916,13.67119544463209,15.47929653192812,-11.23395292591317,5.944287827581984,-9.196916895379593,31.6200008392334,25.8700008392334,0.623999834060669,0.27300000190734863,1.3719998598098755,3.803999900817871,3.132999897003174,3.180000066757202,2.859999895095825,-9.339567201327437,-20.854404049026332,3.1462795716252767,18.96021511573691,3.5,-0.10000000000000009,3.6,3.932435998944306,4.105516108448626,8.32972563085846,8.481512623653071,-9.060667917431886,-3.5035884702342046,6.4544013314108195
2022-10-31,7.7454273308049215,8.20166964383362,8.52481474562552,6.284421750107416,10.228515584388575,13.67119544463209,8.856461321828867,3.541939805291139,-11.23395292591317,25.8799991607666,31.6200008392334,0.10200023651123047,0.623999834060669,0.34399986267089844,4.077000141143799,3.803999900817871,3.9749999046325684,3.180000066757202,7.98634138370089,-6.291253342957315,-0.5262254306385494,18.49765780350776,3.6,0.10000000000000009,3.5,3.61238995234634,3.932435998944306,8.06992982591826,8.395978955306829,-3.8581361664879634,-2.76045994714255,6.410146968856267
2022-11-30,7.110322794191726,7.7454273308049215,8.262692503116241,5.957829066962805,8.16730856971395,10.228515584388575,-6.91089311441182,21.713512662915768,8.856461321828867,20.579999923706055,25.8799991607666,-0.5499997138977051,0.10200023651123047,0.27300000190734863,3.703000068664551,4.077000141143799,4.252999782562256,3.9749999046325684,5.375289335249311,-1.2593878768134226,-5.003139865621964,10.376080118897434,3.6,0.0,3.6,3.358574013268112,3.61238995234634,7.685806589610089,8.150780830392696,-3.096128239498707,-5.501092528458806,6.035613077866597
2022-12-31,6.4544013314108195,7.110322794191726,8.20166964383362,5.70783493244289,6.861331410718585,8.16730856971395,-0.36002595225353984,6.7145367813206125,-6.91089311441182,21.670000076293945,20.579999923706055,-0.381000280380249,-0.5499997138977051,0.623999834060669,3.878999948501587,3.703000068664551,4.260000228881836,4.252999782562256,-5.897147407473047,1.4297142919058814,-2.2935350402726873,8.205287576423537,3.5,0.0,3.6,3.0210391413467264,3.358574013268112,7.103383818802489,7.716554724830474,0.5285140850545035,-4.26607691618869,4.984974122099173
2023-01-31,6.410146968856267,6.4544013314108195,7.7454273308049215,5.5825955607770705,5.588895245746639,6.861331410718585,-1.7318706113278015,-10.52750835922841,-0.36002595225353984,19.399999618530273,21.670000076293945,-1.0410001277923584,-0.381000280380249,0.10200023651123047,3.5290000438690186,3.878999948501587,4.570000171661377,4.260000228881836,6.17528578346791,-1.2999072921870747,-1.3717138861986444,5.759268185069488,3.5,-0.10000000000000009,3.5,3.1798728050878022,3.0210391413467264,6.658290364819604,7.3641100953689325,-3.000929892664386,-3.429533029576174,4.930320398188925
2023-02-28,6.035613077866597,6.410146968856267,7.110322794191726,5.537754418365681,2.378294941819048,5.588895245746639,-2.3075943089187922,-19.50480352157289,-1.7318706113278015,20.700000762939453,19.399999618530273,-0.7940001487731934,-1.0410001277923584,-0.5499997138977051,3.9159998893737793,3.5290000438690186,4.710000038146973,4.570000171661377,-2.611249393181858,0.3830569492730751,2.7130306697928486,8.437600805871082,3.6,0.0,3.5,2.811868059008793,3.1798728050878022,6.300053792711228,6.992930191160659,-1.4664969575000437,-2.2813125984993743,4.047609272791974
2023-03-31,4.984974122099173,6.035613077866597,6.4544013314108195,5.5896026684640665,-1.1353234825817071,2.378294941819048,-1.7910510423802206,-24.54128531105684,-2.3075943089187922,18.700000762939453,20.700000762939453,-1.0910000801086426,-0.7940001487731934,-0.381000280380249,3.49399995803833,3.9159998893737793,4.585000038146973,4.710000038146973,3.505161257710898,14.605282330271606,-2.2504057867286376,4.272204945517855,3.5,0.0,3.6,2.5238740376036795,2.811868059008793,5.810244722940678,6.456814270871585,-1.9435053208756035,-0.7074956179105492,2.9691776545588855
2023-04-30,4.930320398188925,4.984974122099173,6.410146968856267,5.519415773295822,-3.166861407410193,-1.1353234825817071,1.4668965735578743,-26.65966473515966,-1.7910510423802206,15.779999732971191,18.700000762939453,-1.4709999561309814,-1.0910000801086426,-1.0410001277923584,3.4519999027252197,3.49399995803833,4.922999858856201,4.585000038146973,1.4642341662481018,7.683407494374084,-0.8194361035802511,-1.252914653261572,3.4,-0.10000000000000009,3.5,2.474558609181976,2.5238740376036795,5.316969199384898,5.987629782102251,-0.8772495925803784,-1.9390897426223812,3.177780177942169
2023-05-31,4.047609272791974,4.930320398188925,6.035613077866597,5.329805200577087,-7.165939008457423,-3.166861407410193,-11.318054935616173,-40.620914428225205,1.4668965735578743,17.940000534057617,15.779999732971191,-1.6110000610351562,-1.4709999561309814,-0.7940001487731934,3.63700008392334,3.4519999027252197,5.248000144958496,4.922999858856201,0.2482347368192972,2.444050971117928,2.6064734667107903,2.5257982258714673,3.6,0.0,3.4,2.4558331797477795,2.474558609181976,4.654301264360025,5.477177528535626,-3.880736468146172,-2.6736167128231068,3.6651123843995492
2023-06-30,2.9691776545588855,4.047609272791974,4.984974122099173,4.828967015067187,-9.416915550702754,-7.165939008457423,3.745048008379448,-33.20726365090615,-11.318054935616173,13.59000015258789,17.940000534057617,-1.3339998722076416,-1.6110000610351562,-1.0910000801086426,3.819000005722046,3.63700008392334,5.1529998779296875,5.248000144958496,6.472746490423464,15.910401948495888,-1.351606630406077,-1.7002566986213608,3.6,0.10000000000000009,3.6,2.311660693892015,2.4558331797477795,3.982369108513262,4.896306915726971,-2.0353701178929495,-1.9894377193842754,3.69969812134443
