date,CPI,CORE_CPI,PPI,UNRATE,PAYROLLS,SP500,VIX,OIL,GS10,GS3M,DXY,YIELD_SPREAD_10_3M,HY_SPREAD,NFCI,CPI_YOY_BLS,CORE_CPI_YOY_BLS,HAS_BLS_DATA
2007-10-31,208.936,212.318,174.7,4.7,138175.0,1549.3800048828125,18.530000686645508,94.52999877929688,4.474999904632568,3.819999933242798,76.4800033569336,0.6549999713897705,,-0.01,3.536174430128836,2.174205967276221,1
2007-11-30,210.177,212.435,179.0,4.7,138290.0,1481.1400146484375,22.8700008392334,88.70999908447266,3.971999883651733,3.069999933242798,76.1500015258789,0.9019999504089355,,0.275,4.306203473945414,2.328998073217736,1
2007-12-31,210.036,212.356,178.6,5.0,138395.0,1468.3599853515625,22.5,95.9800033569336,4.034999847412109,3.140000104904175,76.69999694824219,0.8949997425079346,,0.549,4.081268582755193,2.4389773275446114,1
2008-01-31,211.08,213.138,181.0,5.0,138391.0,1378.550048828125,26.200000762939453,91.75,3.638999938964844,1.870000004768372,75.18000030517578,1.7689999341964722,,0.43,4.280294047901356,2.46575869313348,1
2008-02-29,211.693,213.866,182.7,4.9,138329.0,1330.6300048828125,26.540000915527344,101.83999633789062,3.5339999198913574,1.784999966621399,73.70999908447266,1.7489999532699585,,0.601,4.026555413048727,2.2734228547381496,1
2008-03-31,213.528,214.866,187.9,5.1,138259.0,1322.699951171875,25.61000061035156,101.58000183105467,3.431999921798706,1.274999976158142,71.80000305175781,2.156999945640564,,0.932,3.981456231251701,2.354672903874277,1
2008-04-30,214.823,215.059,190.9,5.0,138040.0,1385.5899658203125,20.790000915527344,113.45999908447266,3.759000062942505,1.340000033378601,72.51000213623047,2.419000029563904,,0.775,3.936889774827512,2.2576089695736323,1
2008-05-31,216.632,215.18,196.6,5.4,137851.0,1400.3800048828125,17.829999923706055,127.3499984741211,4.046000003814697,1.850000023841858,72.87999725341797,2.19599997997284,,0.514,4.17554304180352,2.312710397687301,1
2008-06-30,218.815,215.553,200.5,5.6,137700.0,1280.0,23.950000762939453,140.0,3.9790000915527344,1.7050000429153442,72.45999908447266,2.27400004863739,,0.632,5.0217900476117405,2.413124661478383,1
2008-07-31,219.964,216.045,205.5,5.8,137497.0,1267.3800048828125,22.940000534057617,124.08000183105467,3.9790000915527344,1.6349999904632568,73.2300033569336,2.344000101089477,,0.739,5.6001229002539565,2.509537095029324,1
2008-08-31,219.086,216.476,199.0,6.1,137211.0,1282.8299560546875,20.649999618530277,115.45999908447266,3.812999963760376,1.690000057220459,77.37999725341797,2.122999906539917,,0.721,5.371855115262347,2.541317127009024,1
