horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
1,RandomForest,0.001,47,MLP,1.8506243660248458,1.3603765530267147,0.796252811251448,0.5655737704918032
1,RandomForest,0.001,47,Ensemble_Avg,0.5064972775211188,0.7116862212528207,0.44702169442075557,0.6639344262295082
1,RandomForest,0.001,47,Ensemble_Weighted,0.4215835369574396,0.6492946457175198,0.42110339095637644,0.6639344262295082
1,RandomForest,0.001,47,Avg(Lasso+Ridge),0.23686947037933473,0.4866923775644475,0.3483084539343838,0.6721311475409836
1,RandomForest,0.001,47,Avg(top3),0.2932592854856938,0.5415341960446208,0.3855479433484768,0.6721311475409836
1,RandomForest,0.002,19,Linear,0.14925203003620297,0.38633150277475814,0.28208131699632755,0.6967213114754098
1,RandomForest,0.002,19,Ridge,0.16340647670389816,0.40423566975700964,0.2914754893935418,0.6557377049180327
1,RandomForest,0.002,19,Lasso,0.21814309520081931,0.46705791418283377,0.32467846724173416,0.6229508196721312
1,RandomForest,0.002,19,GradientBoosting,0.8198000734929105,0.9054281161378359,0.5365347295264643,0.639344262295082
1,RandomForest,0.002,19,XGBoost,0.8859507725397212,0.9412495803662922,0.5876799466032997,0.6147540983606558
1,RandomForest,0.002,19,RandomForest,0.9529006509815027,0.9761663029328059,0.5764616490224113,0.5983606557377049
1,RandomForest,0.002,19,MLP,1.0391762803442344,1.019399960930073,0.6295657217362806,0.5327868852459017
1,RandomForest,0.002,19,LightGBM,1.080032344656008,1.0392460462546913,0.639927688571071,0.5983606557377049
1,RandomForest,0.002,19,Ensemble_Avg,0.3515167015282812,0.5928884393613028,0.3856872669586627,0.6147540983606558
1,RandomForest,0.002,19,Ensemble_Weighted,0.26556384448412285,0.5153288702218447,0.34510508607763135,0.6311475409836066
1,RandomForest,0.002,19,Avg(Linear+Ridge),0.15426673949710684,0.3927680479584698,0.2845067476453612,0.680327868852459
1,RandomForest,0.002,19,Avg(top3),0.16119791231160888,0.4014945981101226,0.2889872136354226,0.6639344262295082
1,RandomForest,0.005,6,Linear,0.12978263432317622,0.3602535694801319,0.25183275939946037,0.680327868852459
1,RandomForest,0.005,6,Ridge,0.1402423997152845,0.37448951883234927,0.2609061285395729,0.6639344262295082
1,RandomForest,0.005,6,Lasso,0.23925400815715925,0.4891359812538424,0.3350620542508842,0.6639344262295082
1,RandomForest,0.005,6,MLP,0.6614288662766212,0.813282771412638,0.46934308930840496,0.6885245901639344
